

i      x0        x1        u0             u1             
478     0.380     0.244     1.870e-04     -4.418e-05     
479     0.111     0.774     4.917e-05     -1.572e-04     
480     0.141     0.248     6.913e-05     -5.686e-05     
481     0.183     0.246     9.149e-05     -5.168e-05     
482     0.313     0.426     1.438e-04     -8.463e-05     
483     0.048     0.232     2.263e-05     -6.609e-05     
484     0.051     0.252     2.376e-05     -6.877e-05     
485     0.045     0.214     2.175e-05     -6.393e-05     
486     0.324     0.503     1.468e-04     -9.982e-05     
487     0.466     0.515     2.108e-04     -9.836e-05     
488     0.783     0.597     3.467e-04     -1.100e-04     
489     0.575     0.512     2.593e-04     -9.607e-05     
490     0.137     0.028     1.355e-04     -2.790e-06     
491     0.147     0.030     1.362e-04     -2.613e-06     
492     0.128     0.025     1.352e-04     -3.235e-06     
493     0.500     0.683     2.234e-04     -1.295e-04     
494     0.021     0.168     1.162e-05     -6.125e-05     
495     0.230     0.069     1.478e-04     -8.224e-06     
496     0.242     0.057     1.540e-04     -6.622e-06     
497     0.191     0.085     1.301e-04     -1.054e-05     
498     0.331     0.838     1.470e-04     -1.641e-04     
499     0.492     0.146     2.436e-04     -2.588e-05     
500     0.520     0.119     2.569e-04     -2.130e-05     
501     0.159     0.187     8.666e-05     -3.896e-05     
502     0.741     0.893     3.337e-04     -1.634e-04     
503     0.697     0.880     3.129e-04     -1.616e-04     
504     0.523     0.773     2.336e-04     -1.458e-04     
505     0.534     0.818     2.384e-04     -1.540e-04     
506     0.500     0.850     2.228e-04     -1.611e-04     
507     0.545     0.864     2.432e-04     -1.625e-04     
508     0.246     0.327     1.167e-04     -6.632e-05     
509     0.118     0.362     5.396e-05     -8.200e-05     
510     0.095     0.380     4.306e-05     -8.677e-05     
511     0.117     0.190     6.298e-05     -4.611e-05     
512     0.120     0.032     1.320e-04     -5.185e-06     
513     0.579     0.833     2.588e-04     -1.555e-04     
514     0.590     0.878     2.640e-04     -1.638e-04     
515     0.278     0.570     1.248e-04     -1.147e-04     
516     0.246     0.598     1.101e-04     -1.211e-04     
517     0.110     0.157     6.538e-05     -3.874e-05     
518     0.094     0.153     5.724e-05     -4.111e-05     
519     0.693     0.202     3.273e-04     -3.836e-05     
520     0.386     0.899     1.711e-04     -1.741e-04     
521     0.096     0.537     4.285e-05     -1.143e-04     
522     0.114     0.049     1.226e-04     -9.322e-06     
523     0.180     0.096     1.222e-04     -1.303e-05     
524     0.622     0.848     2.781e-04     -1.572e-04     
525     0.825     0.877     3.713e-04     -1.605e-04     
526     0.861     0.845     3.843e-04     -1.560e-04     
527     0.872     0.893     3.935e-04     -1.652e-04     
528     0.175     0.610     7.823e-05     -1.256e-04     
529     0.143     0.638     6.361e-05     -1.316e-04     
530     0.104     0.622     4.642e-05     -1.295e-04     
531     0.109     0.666     4.857e-05     -1.375e-04     
532     0.262     0.489     1.184e-04     -9.941e-05     
533     0.457     0.267     2.197e-04     -4.902e-05     
534     0.432     0.293     2.066e-04     -5.421e-05     
